,index,age,income,members_in_household,loan_accounts,Savings,Mortgage,Pension,id,nb_products
0,0,38,47958.0,4,1,0,0,0,44256,0
1,1,30,48606.0,2,4,0,0,0,46883,0
2,2,41,42152.0,4,0,0,0,0,32387,0
3,3,42,39788.0,3,3,0,0,0,25504,0
4,4,42,44365.0,6,2,0,1,0,35979,1
5,5,32,41128.0,7,0,0,0,0,29822,0
6,6,56,44432.0,5,0,0,0,0,36731,0
7,7,41,30969.0,7,1,0,0,0,8756,0
8,8,43,75001.0,6,4,1,1,0,112583,2
9,9,28,35457.0,7,2,0,1,0,18143,1
10,10,16,46586.0,5,0,0,0,0,41469,0
11,11,46,53199.0,4,0,1,0,0,55653,1
12,12,57,51000.0,1,0,0,0,0,50886,0
13,13,24,42440.0,4,1,0,0,0,32870,0
14,14,42,42426.0,7,1,0,0,0,33069,0
15,15,33,27577.0,6,1,0,0,0,5319,0
16,16,23,51023.0,7,1,0,0,0,50846,0
17,17,43,31035.0,6,0,0,0,0,8983,0
18,18,39,44402.0,4,1,0,0,0,36577,0
19,19,42,33138.0,5,0,0,0,0,13704,0
20,20,40,41959.0,2,0,0,0,0,31894,0
21,21,16,49836.0,4,1,0,0,0,48136,0
22,22,39,44427.0,6,2,0,1,0,35859,1
23,23,27,53182.0,4,1,1,0,0,55728,1
24,24,51,35919.0,1,2,0,0,0,18607,0
25,25,27,34167.0,5,0,0,0,0,15254,0
26,26,18,36765.0,7,1,0,0,0,19640,0
27,27,29,33938.0,4,1,0,0,0,15033,0
28,28,56,41145.0,1,0,0,0,1,29836,1
29,29,34,38903.0,7,0,0,0,0,24290,0
30,30,17,33884.0,7,1,0,0,0,15065,0
31,31,32,39844.0,5,0,0,0,0,25462,0
32,32,37,67520.0,3,2,1,0,0,94027,1
33,33,57,37492.0,1,0,0,0,1,20400,1
34,34,53,53318.0,3,2,1,0,0,56258,1
35,35,30,50690.0,6,3,0,1,0,49870,1
36,36,59,45675.0,2,1,0,0,0,39359,0
37,37,83,62854.0,2,2,0,0,1,82899,1
38,38,42,35081.0,4,2,0,0,0,16333,0
39,39,60,47942.0,5,0,0,0,0,43913,0
40,40,42,42002.0,2,3,0,0,0,31868,0
41,41,70,31933.0,6,0,0,0,1,10798,1
42,42,28,54619.0,4,0,1,0,0,58943,1
43,43,43,41787.0,4,1,0,0,0,31159,0
44,44,25,49948.0,7,1,0,0,0,48467,0
